input_text,target_text,label,label_id
Process a payment of 786 with Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 786, ""payment_method"": ""credit_card""}}",make_payment,8
"I need 10 more Mother Dairy Butter, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Mother Dairy Butter"", ""quantity"": 10}}",inc_quantity,4
"I need 4 more Cinthol Deo, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Cinthol Deo"", ""quantity"": 4}}",inc_quantity,4
Bump up Nivea Cream by 3.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Nivea Cream"", ""quantity"": 3}}",dec_quantity,5
"I need 4 more Pepsi, please reduce the quantity.","{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Pepsi"", ""quantity"": 4}}",dec_quantity,5
Make sure 1 5 Star is added to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""5 Star"", ""quantity"": 1}}",add_to_cart,0
Use Net Banking to settle 489.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 489, ""payment_method"": ""net_banking""}}",make_payment,8
"I need 1 more Dove Shampoo, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Dove Shampoo"", ""quantity"": 1}}",inc_quantity,4
Process a payment of 740 with Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 740, ""payment_method"": ""credit_card""}}",make_payment,8
Complete the payment of 261 using UPI.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 261, ""payment_method"": ""upi""}}",make_payment,8
Increase 7 more for Lays Potato Chips.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Lays Potato Chips"", ""quantity"": 7}}",inc_quantity,4
Charge 618 to my Net Banking.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 618, ""payment_method"": ""net_banking""}}",make_payment,8
Throw in 5 of Godrej Cinthol Deodorant to my shopping list.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Godrej Cinthol Deodorant"", ""quantity"": 5}}",add_to_cart,0
Can you reduce the quantity of Britannia Good Day Cookies by 10?,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Britannia Good Day Cookies"", ""quantity"": 10}}",dec_quantity,5
Process a payment of 554 with Net Banking.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 554, ""payment_method"": ""net_banking""}}",make_payment,8
Process a payment of 455 with Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 455, ""payment_method"": ""credit_card""}}",make_payment,8
Make sure 2 Vicks VapoRub is added to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Vicks VapoRub"", ""quantity"": 2}}",add_to_cart,0
Process a payment of 843 with Cash on Delivery.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 843, ""payment_method"": ""cod""}}",make_payment,8
Throw in 5 of Colgate Toothpaste to my shopping list.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Colgate Toothpaste"", ""quantity"": 5}}",add_to_cart,0
Bump up Electral by 1.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Electral"", ""quantity"": 1}}",inc_quantity,4
Adjust Bourbon Biscuits count and reduce it by 4.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Bourbon Biscuits"", ""quantity"": 4}}",dec_quantity,5
"I need 7 more Tide Washing Powder, please reduce the quantity.","{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Tide Washing Powder"", ""quantity"": 7}}",dec_quantity,5
Launch the app.,"{""name"": ""open_app"", ""arguments"": {}}",open_app,2
Bump up Bourbon Biscuits by 2.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Bourbon Biscuits"", ""quantity"": 2}}",inc_quantity,4
Complete the payment of 479 using Net Banking.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 479, ""payment_method"": ""net_banking""}}",make_payment,8
"I need 8 more Vicks VapoRub, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Vicks VapoRub"", ""quantity"": 8}}",inc_quantity,4
Process a payment of 704 with Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 704, ""payment_method"": ""debit_card""}}",make_payment,8
Complete the payment of 663 using Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 663, ""payment_method"": ""debit_card""}}",make_payment,8
"I need 7 more Lays Potato Chips, please reduce the quantity.","{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Lays Potato Chips"", ""quantity"": 7}}",dec_quantity,5
Make sure 3 Heinz Tomato Ketchup is added to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Heinz Tomato Ketchup"", ""quantity"": 3}}",add_to_cart,0
Process a payment of 154 with Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 154, ""payment_method"": ""debit_card""}}",make_payment,8
"I need 7 more Red Bull, please reduce the quantity.","{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Red Bull"", ""quantity"": 7}}",dec_quantity,5
Increase 5 more for Red Bull.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Red Bull"", ""quantity"": 5}}",inc_quantity,4
Increase 3 more for Dove Shampoo.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Dove Shampoo"", ""quantity"": 3}}",inc_quantity,4
Add 2 Tide Washing Powder to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Tide Washing Powder"", ""quantity"": 2}}",add_to_cart,0
Increase 1 more for Amul Ice Cream.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Amul Ice Cream"", ""quantity"": 1}}",inc_quantity,4
Reduce 4 more for Nivea Cream.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Nivea Cream"", ""quantity"": 4}}",dec_quantity,5
"I'd like to buy 5 Cinthol Deo, add it to the cart.","{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Cinthol Deo"", ""quantity"": 5}}",add_to_cart,0
Bump up Dove Shampoo by 1.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Dove Shampoo"", ""quantity"": 1}}",dec_quantity,5
Find me energy drink.,"{""name"": ""search"", ""arguments"": {""query"": ""energy drink""}}",search,3
Can you reduce the quantity of Vicks VapoRub by 4?,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Vicks VapoRub"", ""quantity"": 4}}",dec_quantity,5
Adjust Amul Milk count and reduce it by 7.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Amul Milk"", ""quantity"": 7}}",dec_quantity,5
"I need 5 more Britannia Good Day Cookies, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Britannia Good Day Cookies"", ""quantity"": 5}}",inc_quantity,4
Use Credit Card to settle 701.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 701, ""payment_method"": ""credit_card""}}",make_payment,8
Use Cash on Delivery to settle 147.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 147, ""payment_method"": ""cod""}}",make_payment,8
Complete the payment of 942 using UPI.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 942, ""payment_method"": ""upi""}}",make_payment,8
Adjust Close-Up Toothpaste count and reduce it by 5.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Close-Up Toothpaste"", ""quantity"": 5}}",dec_quantity,5
Can you put 3 of Tide Washing Powder in my basket?,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Tide Washing Powder"", ""quantity"": 3}}",add_to_cart,0
Bump up Britannia Good Day Cookies by 7.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Britannia Good Day Cookies"", ""quantity"": 7}}",dec_quantity,5
Increase 1 more for Emami Navratna Oil.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Emami Navratna Oil"", ""quantity"": 1}}",inc_quantity,4
Bump up Maggi Masala Noodles by 9.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Maggi Masala Noodles"", ""quantity"": 9}}",dec_quantity,5
Can you reduce the quantity of Electral by 8?,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Electral"", ""quantity"": 8}}",dec_quantity,5
Use Cash on Delivery to settle 125.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 125, ""payment_method"": ""cod""}}",make_payment,8
Cancel Maggi Masala Noodles from the cart.,"{""name"": ""delete_from_cart"", ""arguments"": {""item"": ""Maggi Masala Noodles""}}",delete_from_cart,10
Remove Pepsi from my order.,"{""name"": ""delete_from_cart"", ""arguments"": {""item"": ""Pepsi""}}",delete_from_cart,10
Complete the payment of 667 using UPI.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 667, ""payment_method"": ""upi""}}",make_payment,8
Add 5 Close-Up Toothpaste to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Close-Up Toothpaste"", ""quantity"": 5}}",add_to_cart,0
Process a payment of 829 with Net Banking.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 829, ""payment_method"": ""net_banking""}}",make_payment,8
Adjust Nivea Cream count and increase it by 1.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Nivea Cream"", ""quantity"": 1}}",inc_quantity,4
"I need 9 more Maggi Masala Noodles, please reduce the quantity.","{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Maggi Masala Noodles"", ""quantity"": 9}}",dec_quantity,5
Can you increase the quantity of Emami Navratna Oil by 10?,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Emami Navratna Oil"", ""quantity"": 10}}",inc_quantity,4
Make sure 3 Amul Ice Cream is added to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Amul Ice Cream"", ""quantity"": 3}}",add_to_cart,0
Bump up Close-Up Toothpaste by 4.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Close-Up Toothpaste"", ""quantity"": 4}}",inc_quantity,4
Charge 991 to my Cash on Delivery.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 991, ""payment_method"": ""cod""}}",make_payment,8
Charge 636 to my Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 636, ""payment_method"": ""credit_card""}}",make_payment,8
"I need 2 more Red Bull, please reduce the quantity.","{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Red Bull"", ""quantity"": 2}}",dec_quantity,5
I want to pay 377 through Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 377, ""payment_method"": ""debit_card""}}",make_payment,8
Charge 931 to my Cash on Delivery.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 931, ""payment_method"": ""cod""}}",make_payment,8
Charge 651 to my Net Banking.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 651, ""payment_method"": ""net_banking""}}",make_payment,8
Can you put 5 of Nivea Cream in my basket?,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Nivea Cream"", ""quantity"": 5}}",add_to_cart,0
Charge 349 to my UPI.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 349, ""payment_method"": ""upi""}}",make_payment,8
I want to pay 792 through Cash on Delivery.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 792, ""payment_method"": ""cod""}}",make_payment,8
Make sure 5 Godrej Cinthol Deodorant is added to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Godrej Cinthol Deodorant"", ""quantity"": 5}}",add_to_cart,0
Use Credit Card to settle 410.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 410, ""payment_method"": ""credit_card""}}",make_payment,8
Bump up Dove Shampoo by 3.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Dove Shampoo"", ""quantity"": 3}}",inc_quantity,4
Complete the payment of 229 using Cash on Delivery.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 229, ""payment_method"": ""cod""}}",make_payment,8
Throw in 3 of Emami Navratna Oil to my shopping list.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Emami Navratna Oil"", ""quantity"": 3}}",add_to_cart,0
Bump up Pepsi by 8.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Pepsi"", ""quantity"": 8}}",inc_quantity,4
Reduce 5 more for Emami Navratna Oil.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Emami Navratna Oil"", ""quantity"": 5}}",dec_quantity,5
Bump up Mother Dairy Butter by 3.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Mother Dairy Butter"", ""quantity"": 3}}",inc_quantity,4
Throw in 4 of Close-Up Toothpaste to my shopping list.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Close-Up Toothpaste"", ""quantity"": 4}}",add_to_cart,0
"I don’t need Mother Dairy Butter anymore, delete it.","{""name"": ""delete_from_cart"", ""arguments"": {""item"": ""Mother Dairy Butter""}}",delete_from_cart,10
I want to pay 529 through UPI.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 529, ""payment_method"": ""upi""}}",make_payment,8
Complete the payment of 429 using Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 429, ""payment_method"": ""debit_card""}}",make_payment,8
Charge 314 to my Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 314, ""payment_method"": ""debit_card""}}",make_payment,8
Make sure 2 Dove Shampoo is added to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Dove Shampoo"", ""quantity"": 2}}",add_to_cart,0
I want to pay 630 through UPI.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 630, ""payment_method"": ""upi""}}",make_payment,8
Add 4 Vicks VapoRub to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Vicks VapoRub"", ""quantity"": 4}}",add_to_cart,0
Can you reduce the quantity of Mother Dairy Butter by 10?,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Mother Dairy Butter"", ""quantity"": 10}}",dec_quantity,5
Can you put 1 of Close-Up Toothpaste in my basket?,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Close-Up Toothpaste"", ""quantity"": 1}}",add_to_cart,0
Adjust Close-Up Toothpaste count and increase it by 10.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Close-Up Toothpaste"", ""quantity"": 10}}",inc_quantity,4
Adjust Red Bull count and increase it by 1.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Red Bull"", ""quantity"": 1}}",inc_quantity,4
"I need 3 more Red Bull, please reduce the quantity.","{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Red Bull"", ""quantity"": 3}}",dec_quantity,5
Charge 809 to my Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 809, ""payment_method"": ""debit_card""}}",make_payment,8
Reduce 8 more for Mother Dairy Butter.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Mother Dairy Butter"", ""quantity"": 8}}",dec_quantity,5
Complete the payment of 253 using Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 253, ""payment_method"": ""debit_card""}}",make_payment,8
"I need 5 more Dove Shampoo, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Dove Shampoo"", ""quantity"": 5}}",inc_quantity,4
Can you increase the quantity of Lays Potato Chips by 8?,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Lays Potato Chips"", ""quantity"": 8}}",inc_quantity,4
Throw in 4 of Nivea Cream to my shopping list.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Nivea Cream"", ""quantity"": 4}}",add_to_cart,0
Bump up 5 Star by 5.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""5 Star"", ""quantity"": 5}}",dec_quantity,5
Bump up Tide Washing Powder by 8.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Tide Washing Powder"", ""quantity"": 8}}",dec_quantity,5
Process a payment of 203 with Cash on Delivery.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 203, ""payment_method"": ""cod""}}",make_payment,8
Complete the payment of 721 using Net Banking.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 721, ""payment_method"": ""net_banking""}}",make_payment,8
Reduce 2 more for Maggi Masala Noodles.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Maggi Masala Noodles"", ""quantity"": 2}}",dec_quantity,5
Can you increase the quantity of Britannia Good Day Cookies by 8?,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Britannia Good Day Cookies"", ""quantity"": 8}}",inc_quantity,4
Make sure 4 Emami Navratna Oil is added to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Emami Navratna Oil"", ""quantity"": 4}}",add_to_cart,0
I want to pay 693 through Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 693, ""payment_method"": ""credit_card""}}",make_payment,8
Reduce 10 more for Colgate Toothpaste.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Colgate Toothpaste"", ""quantity"": 10}}",dec_quantity,5
Throw in 1 of Bisleri Water to my shopping list.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Bisleri Water"", ""quantity"": 1}}",add_to_cart,0
Use Cash on Delivery to settle 170.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 170, ""payment_method"": ""cod""}}",make_payment,8
Complete the payment of 576 using UPI.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 576, ""payment_method"": ""upi""}}",make_payment,8
Charge 680 to my Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 680, ""payment_method"": ""credit_card""}}",make_payment,8
Take Colgate Toothpaste out of my cart.,"{""name"": ""delete_from_cart"", ""arguments"": {""item"": ""Colgate Toothpaste""}}",delete_from_cart,10
Bump up Close-Up Toothpaste by 10.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Close-Up Toothpaste"", ""quantity"": 10}}",dec_quantity,5
Increase 2 more for Heinz Tomato Ketchup.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Heinz Tomato Ketchup"", ""quantity"": 2}}",inc_quantity,4
Adjust Vicks VapoRub count and reduce it by 10.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Vicks VapoRub"", ""quantity"": 10}}",dec_quantity,5
Add 5 Pepsi to my cart.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Pepsi"", ""quantity"": 5}}",add_to_cart,0
Charge 965 to my Net Banking.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 965, ""payment_method"": ""net_banking""}}",make_payment,8
Can you increase the quantity of Amul Milk by 2?,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Amul Milk"", ""quantity"": 2}}",inc_quantity,4
"I'd like to buy 3 Amul Ice Cream, add it to the cart.","{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Amul Ice Cream"", ""quantity"": 3}}",add_to_cart,0
Bump up 5 Star by 7.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""5 Star"", ""quantity"": 7}}",inc_quantity,4
Adjust Colgate Toothpaste count and reduce it by 4.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Colgate Toothpaste"", ""quantity"": 4}}",dec_quantity,5
Bump up Godrej Cinthol Deodorant by 10.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Godrej Cinthol Deodorant"", ""quantity"": 10}}",dec_quantity,5
